x, 0, 0, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, x, x, 5, 0, 0, x, x, x, xxfc, xx, 00, 00, 00, 00, ff, 24, fffX, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, 00, 00, 00, 00, ff, 24, fffc, ea, 00, 00
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 0, 1, fffc, 00, fc, 00, 00, 00, ff, 24, fffc, ea, fc, ff
1, 0, 0, fffc, 0, 0, 5, 0, 0, 1, 2, 1, fffc, 00, fc, 00, 00, 00, ff, 24, fffc, ea, fc, ff
1, 0, 0, fffc, 0, 0, 5, 0, 0, 1, 2, 1, fffd, f8, ff, 00, 00, 00, ff, 24, fffc, ea, 00, ff
1, 0, 0, fffc, 1, 0, 5, 0, 0, 1, 3, 1, f800, 4c, 24, 00, 00, 00, ff, 24, f800, ea, 00, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f801, 38, 01, 00, 00, 00, ff, 24, f801, 4c, 00, f8
